"age","income","demand","propose","elite"
29,3,40,40,0
28,2,20,50,0
28,1,40,50,0
38,6,0,50,0
29,1,40,50,0
49,2,55,45,0
23,2,10,70,0
29,2,10,50,0
20,1,1,50,0
31,4,40,40,0
24,2,40,50,0
29,3,10,50,0
24,3,45,50,0
NA,5,50,50,0
56,3,25,40,0
29,2,1,50,0
21,1,40,50,0
54,4,1,50,0
26,4,0,20,0
26,3,40,55,0
28,1,5,50,0
49,3,29,10,0
25,6,20,50,0
33,2,1,50,0
25,3,25,50,0
62,1,1,70,0
24,3,30,50,0
50,1,10,41,0
28,3,40,50,0
27,2,5,50,0
51,2,30,40,0
26,5,35,50,0
31,2,20,40,0
23,3,5,35,0
33,5,50,50,0
38,2,30,50,0
26,8,20,10,0
30,5,20,64,0
39,1,20,20,0
35,4,50,50,0
31,6,40,50,0
34,2,50,50,0
20,2,30,40,0
25,3,0,50,0
27,1,35,40,0
39,2,40,50,0
33,2,30,50,0
26,3,45,55,0
20,1,40,50,0
27,3,45,17,0
22,1,20,50,0
26,3,40,50,0
23,3,1,50,0
26,3,12,50,0
21,8,1,0,0
42,2,10,20,0
33,1,20,50,0
29,3,50,50,0
27,4,35,50,0
34,9,25,50,0
41,1,30,40,0
36,2,30,50,0
26,8,20,50,0
22,1,50,50,0
21,1,10,51,0
29,6,25,50,0
33,6,20,40,0
47,2,1,50,0
25,6,49,50,0
35,2,25,30,0
25,3,40,50,0
58,1,40,21,0
23,2,40,40,0
27,4,30,50,0
35,5,25,50,0
31,2,50,50,0
28,1,20,50,0
31,1,1,50,0
29,1,50,50,0
24,1,5,50,0
44,1,10,50,0
30,2,1,25,0
34,3,1,50,0
27,5,50,50,0
34,2,40,50,0
21,9,40,50,0
23,3,1,50,0
27,1,20,20,0
32,2,1,50,0
28,1,30,50,0
20,4,1,50,0
23,9,30,40,0
24,1,10,50,0
23,6,50,0,0
59,1,50,50,0
32,4,25,50,0
63,2,10,10,0
44,3,25,25,0
26,2,10,50,0
25,2,20,50,0
21,1,40,50,0
39,2,30,40,0
24,3,80,0,0
39,3,25,45,0
31,3,40,45,0
24,3,40,50,0
27,2,40,50,0
22,1,20,30,0
27,5,20,30,0
23,2,50,50,0
27,2,10,50,0
23,2,45,50,0
29,2,15,40,0
23,3,25,50,0
21,3,25,55,0
24,1,40,50,0
21,1,20,40,0
24,3,20,50,0
32,3,65,30,0
31,2,30,50,0
23,1,5,50,0
46,1,50,50,0
29,3,20,35,0
33,2,25,50,0
24,3,25,30,0
24,2,40,50,0
24,2,25,50,0
32,2,10,50,0
23,3,40,50,0
22,2,35,50,0
40,1,25,50,0
20,2,30,45,0
26,2,90,58,0
37,2,20,45,0
25,NA,40,50,0
30,2,30,30,0
22,3,10,50,0
57,1,10,25,0
51,2,10,50,0
32,3,20,50,0
31,1,40,50,0
29,4,30,50,0
67,2,20,50,0
47,6,40,39,0
24,2,1,0,0
24,2,10,50,0
23,2,20,50,0
25,1,35,50,0
20,1,50,50,0
27,2,20,50,0
61,6,50,50,0
44,1,30,59,0
26,6,1,50,0
38,5,10,50,0
60,1,5,50,0
26,4,40,50,0
29,2,10,50,0
20,8,1,50,0
24,3,40,50,0
58,1,30,40,0
40,2,25,49,0
30,3,20,20,0
27,6,5,40,0
31,4,30,50,0
28,1,25,50,0
22,1,20,50,0
26,2,50,58,0
29,3,0,50,0
25,2,0,0,0
44,1,15,30,0
65,9,40,50,0
23,2,40,50,0
29,1,50,50,0
24,6,20,0,0
47,2,40,50,0
50,3,10,50,0
27,2,50,50,0
24,1,40,80,0
28,1,50,50,0
28,3,25,50,0
29,2,50,50,0
31,2,50,50,0
22,2,20,50,0
61,5,25,30,0
24,9,50,50,0
55,5,20,50,0
30,2,1,40,0
26,4,2,0,0
51,2,1,50,0
25,1,1,0,0
22,2,10,0,0
60,3,20,0,0
22,1,10,2,0
28,1,50,50,0
40,5,25,30,0
69,4,40,50,0
36,1,35,40,0
31,5,30,40,0
35,4,50,9,0
25,4,0,70,0
27,2,25,50,0
30,2,1,50,0
23,1,1,50,0
28,2,50,50,0
51,1,10,50,0
28,1,10,50,0
32,6,40,50,0
22,3,20,30,0
27,3,50,70,0
36,4,25,50,0
24,NA,20,20,0
28,2,1,40,0
20,9,1,50,0
29,2,50,10,0
25,3,50,0,0
27,3,NA,50,0
25,2,30,50,0
21,1,0,50,0
29,2,20,50,0
22,1,40,80,0
26,3,20,75,0
23,3,40,50,0
23,3,1,10,0
22,1,20,55,0
32,2,50,50,0
27,1,1,50,0
32,1,25,40,0
23,1,10,0,0
20,3,20,35,0
34,2,10,50,0
53,3,50,50,0
21,3,30,25,0
23,2,30,50,0
45,5,1,50,0
21,3,50,0,0
33,1,25,50,0
27,1,30,30,0
19,6,50,50,0
32,2,36,48,0
27,2,30,30,0
59,1,30,50,0
48,9,40,30,0
40,4,1,50,0
25,6,20,40,0
24,NA,20,50,0
27,1,20,50,0
25,2,15,45,0
43,1,40,40,0
27,3,35,52,0
19,3,5,50,0
34,2,30,50,0
27,6,40,50,0
34,1,40,50,0
22,3,20,45,0
19,3,20,50,0
30,1,1,60,0
54,2,10,50,0
20,2,3,50,0
34,2,2,40,0
35,3,40,50,0
25,2,10,50,0
48,8,30,50,0
22,8,10,25,0
26,1,5,21,0
22,2,10,45,0
21,5,20,35,0
34,2,50,0,0
25,3,50,38,0
22,1,30,50,0
29,2,20,50,0
51,3,40,50,0
21,1,20,34,0
26,6,10,50,0
23,3,20,50,0
26,1,35,40,0
33,3,30,28,0
30,2,45,40,0
26,1,1,40,0
32,1,40,50,0
28,2,35,50,0
29,3,25,50,0
37,2,25,50,0
30,1,33,32,0
23,3,10,50,0
62,2,50,50,0
22,9,10,50,0
29,5,40,50,0
28,2,25,50,0
54,1,35,35,0
24,2,10,50,0
27,4,45,50,0
26,1,33,35,0
65,3,40,50,0
24,3,10,60,0
29,2,40,50,0
34,6,10,50,0
29,2,90,40,0
27,1,30,50,0
29,6,50,50,0
53,1,30,40,0
29,4,50,63,0
38,1,20,40,0
36,5,20,45,0
49,4,50,2,0
35,6,1,50,0
24,2,10,25,0
59,4,30,50,0
20,9,10,50,0
33,3,5,60,0
26,2,50,50,0
21,5,1,49,0
24,2,15,35,0
22,1,2,42,0
37,9,30,50,0
29,4,10,50,0
21,3,1,50,0
24,1,40,40,0
30,2,40,40,0
26,NA,1,0,0
35,4,40,40,0
48,7,25,45,0
45,2,45,50,0
22,5,30,50,0
31,9,25,25,0
32,1,30,50,0
34,1,20,50,0
22,5,20,60,0
33,2,1,50,0
26,1,35,40,0
28,2,10,50,0
22,1,50,50,0
28,1,10,8,0
25,3,10,10,0
25,1,40,40,0
27,2,50,50,0
38,4,35,45,0
22,1,50,50,0
22,1,25,40,0
37,3,30,50,0
23,2,10,40,0
30,6,1,0,0
36,2,25,30,0
24,2,1,50,0
32,3,50,50,0
50,1,40,50,0
30,1,30,50,0
25,3,20,50,0
29,2,30,50,0
53,3,20,50,0
22,3,30,8,0
36,5,40,50,0
30,2,50,50,0
35,4,30,50,0
29,1,7,70,0
36,3,5,50,0
28,3,50,50,0
33,2,5,50,0
38,1,50,50,0
29,2,38,45,0
24,2,20,50,0
69,2,50,0,0
28,2,40,60,0
34,2,10,50,0
26,1,1,25,0
23,1,40,46,0
29,3,30,40,0
28,4,30,8,0
32,1,30,50,0
20,2,10,50,0
28,5,20,30,0
30,1,15,50,0
29,2,10,50,0
23,9,50,50,0
22,1,25,35,0
28,1,45,50,0
20,2,50,50,0
46,3,40,50,0
29,5,50,75,0
36,7,25,40,0
23,6,1,1,0
62,2,25,50,0
20,1,1,50,0
37,3,20,50,0
31,5,25,50,0
26,2,25,50,0
40,5,50,50,0
33,9,10,50,0
32,5,30,31,0
39,2,30,70,0
36,2,40,45,0
18,1,0,50,0
22,1,30,40,0
59,2,20,50,0
27,2,40,50,0
33,1,40,50,0
23,3,30,40,0
25,3,15,40,0
30,4,20,20,0
62,3,40,40,0
22,1,40,0,0
24,3,5,50,0
25,1,10,20,0
28,5,50,50,0
25,2,40,60,0
24,9,30,31,0
20,5,30,36,0
30,1,1,50,0
35,2,20,50,0
36,3,50,50,0
22,7,35,30,0
22,2,40,50,0
39,2,1,50,0
31,5,50,50,0
53,2,0,30,0
29,3,45,50,0
28,5,30,40,0
29,1,50,50,0
27,2,1,30,0
24,1,45,51,0
21,1,50,60,0
33,2,25,35,0
34,1,20,0,0
27,2,30,40,0
27,6,25,40,0
20,3,40,50,0
26,1,30,50,0
28,1,40,37,0
41,3,40,35,0
21,3,25,50,0
35,2,50,50,0
68,1,10,50,0
34,5,40,40,0
25,1,30,0,0
41,3,10,50,0
27,2,20,50,0
31,3,20,50,0
22,2,100,0,0
19,4,35,50,0
30,1,10,50,0
60,2,25,50,0
22,1,40,50,0
23,1,40,40,0
19,2,50,14,0
34,1,50,50,0
30,3,16,35,0
25,1,25,70,0
32,1,50,20,0
35,2,35,52,0
32,1,40,40,0
28,1,30,50,0
26,2,50,50,0
32,3,50,33,0
71,3,1,50,0
24,2,40,50,0
25,1,40,50,0
23,2,40,50,0
34,2,84,83,0
39,2,49,92,0
28,2,50,50,0
26,2,20,50,0
57,2,40,50,0
34,3,20,25,0
31,2,50,50,0
42,2,10,50,0
30,3,25,50,0
33,1,20,25,0
65,2,40,60,0
20,6,25,45,0
23,4,35,50,0
35,1,20,50,0
27,2,40,50,0
27,5,40,50,0
27,6,15,50,0
33,1,1,50,0
30,3,10,25,0
46,2,30,50,0
29,3,40,41,0
58,1,40,50,0
27,1,10,50,0
23,1,15,31,0
22,1,45,40,0
39,6,40,50,0
27,2,25,40,0
35,1,10,70,0
30,6,1,45,0
47,NA,50,50,0
35,1,0,50,0
38,5,48,48,0
18,4,49,50,0
21,5,10,50,0
30,1,15,89,0
34,3,40,50,0
23,1,40,50,0
26,5,10,80,0
21,1,10,50,0
37,6,25,50,0
44,2,50,50,0
37,2,10,25,0
68,1,35,50,0
25,6,40,50,0
28,2,40,50,0
24,1,5,40,0
34,4,40,35,0
25,3,45,50,0
27,3,30,50,0
37,3,1,50,0
26,1,5,0,0
23,2,50,20,0
48,1,30,30,0
31,1,25,50,0
31,6,1,5,0
21,1,1,30,0
23,2,10,32,0
20,7,15,10,0
20,5,50,29,0
22,6,50,50,0
31,1,50,50,0
31,9,30,50,0
23,1,20,0,0
27,1,1,1,0
31,2,20,50,0
42,2,40,50,0
53,6,10,50,0
53,1,1,0,0
26,3,50,50,0
27,2,10,50,0
27,1,25,50,0
52,1,40,50,0
39,3,40,50,0
30,2,5,0,0
28,2,20,40,0
30,6,40,50,0
54,6,10,50,0
29,5,30,40,0
30,2,25,50,0
36,3,1,50,0
22,3,50,50,0
37,3,10,47,0
48,1,40,50,0
76,3,1,50,0
19,NA,20,50,0
46,5,30,35,0
57,5,1,51,0
38,4,50,30,0
22,3,5,0,0
48,2,40,50,0
28,2,50,50,0
19,4,1,50,0
24,4,20,50,0
31,3,25,50,0
21,4,5,20,0
29,2,25,50,0
28,3,5,50,0
35,5,30,0,0
46,3,25,33,0
36,1,40,40,0
28,4,35,30,0
34,5,1,50,0
29,2,50,50,0
32,2,40,50,0
26,2,20,50,0
25,2,30,50,0
28,1,20,50,0
22,1,50,50,0
26,1,20,20,0
20,9,50,50,0
38,6,25,30,0
24,2,10,50,0
23,1,40,50,0
46,3,20,50,0
25,6,20,15,0
25,2,50,50,0
50,2,15,25,0
32,3,30,50,0
26,5,20,29,0
22,5,25,50,0
21,1,20,41,0
33,2,40,20,0
59,1,40,51,0
25,2,25,50,0
20,6,15,50,0
26,1,10,50,0
29,3,25,50,0
45,5,50,50,0
22,3,25,55,0
25,2,30,30,0
23,1,25,25,0
24,3,25,50,0
27,1,1,50,0
25,2,35,40,0
32,2,25,30,0
21,1,0,30,0
27,2,15,50,0
26,5,1,50,0
21,1,40,40,0
41,1,50,0,0
21,1,20,30,0
58,4,50,50,0
24,4,50,50,0
39,2,10,49,0
29,2,5,51,0
36,2,20,30,0
49,2,50,50,0
24,2,10,20,0
39,2,10,50,0
42,5,10,75,0
35,5,50,50,0
37,5,50,50,0
41,1,35,50,0
31,1,20,50,0
43,6,5,20,0
45,3,20,30,0
27,2,25,40,0
29,6,5,50,0
30,2,35,40,0
21,1,20,30,0
27,1,45,50,0
54,1,10,50,0
39,2,1,50,0
26,1,50,50,0
34,3,40,40,0
38,2,40,50,0
44,5,10,50,0
47,1,40,50,0
31,1,35,50,0
61,6,35,50,0
27,5,10,50,0
32,5,35,45,0
39,2,20,30,0
38,2,50,50,0
29,2,1,0,0
21,5,50,34,0
20,3,20,40,0
32,1,10,50,0
24,5,50,50,0
20,2,45,50,0
41,3,40,50,0
57,2,50,50,0
35,3,11,50,0
33,2,1,50,0
33,3,10,50,0
54,3,20,40,0
40,2,40,50,0
21,1,40,50,0
24,9,50,50,0
45,1,35,45,0
39,2,10,50,0
47,1,50,0,0
30,5,40,50,0
20,1,6,52,0
41,2,20,50,0
24,2,30,50,0
22,5,40,50,0
27,3,3,50,0
29,1,10,50,0
26,3,20,50,0
34,1,40,50,0
25,2,40,50,0
25,2,0,20,0
33,2,50,50,0
39,2,25,40,0
32,6,25,50,0
31,3,35,50,0
25,5,30,50,0
34,3,40,50,0
32,3,5,50,0
26,2,10,30,0
27,5,17,50,0
30,2,2,43,0
22,2,10,45,0
59,2,40,50,0
29,2,49,60,0
46,6,25,50,0
43,2,20,50,0
28,3,30,50,0
27,9,40,40,0
54,2,44,42,0
20,2,5,50,0
26,1,0,0,0
25,1,2,77,0
35,2,20,50,0
27,1,25,50,0
26,2,30,50,0
19,3,15,50,0
28,2,20,50,0
22,2,30,50,0
24,1,0,25,0
26,2,10,45,0
29,3,30,50,0
20,1,30,29,0
27,9,40,43,0
31,1,50,50,0
29,1,20,40,0
23,1,1,50,0
45,1,1,50,0
27,3,30,30,0
26,1,10,52,0
38,2,40,45,0
26,2,30,50,0
32,1,20,50,0
50,2,50,0,0
40,4,50,40,0
30,4,40,30,0
24,2,40,49,0
25,2,20,40,0
22,1,2,57,0
28,2,2,11,0
24,1,50,0,0
25,2,50,50,0
26,5,50,50,0
27,9,30,35,0
40,3,20,50,0
25,4,30,8,0
23,2,40,50,0
54,2,10,40,0
34,1,50,50,0
40,2,40,50,0
18,4,5,50,0
31,3,40,50,0
19,2,50,50,0
24,3,10,50,0
51,3,25,30,0
19,2,15,40,0
28,2,10,50,0
34,3,5,20,0
61,1,10,50,0
29,1,50,50,0
21,NA,1,50,0
32,1,5,50,0
27,3,5,50,0
23,2,50,50,0
39,4,5,13,0
60,1,10,10,0
42,2,40,50,0
35,1,20,40,0
32,4,20,50,0
19,2,10,50,0
29,4,10,70,0
27,5,40,50,0
23,2,5,95,0
24,1,1,0,0
27,3,20,40,0
44,4,20,60,0
32,4,20,50,0
31,1,50,50,0
42,2,10,30,0
49,2,10,20,0
23,2,25,40,0
22,1,30,50,0
23,1,10,50,0
30,4,50,50,0
40,4,20,50,0
22,5,0,8,0
21,1,25,50,0
31,3,5,30,0
37,3,1,50,0
33,5,20,45,0
29,3,40,40,0
55,1,10,50,0
54,2,40,40,0
19,2,1,50,0
41,3,20,41,0
28,1,10,30,0
63,3,49,50,0
47,NA,20,50,0
27,1,20,39,0
28,3,40,40,0
31,2,60,50,0
23,2,1,50,0
23,2,50,50,0
34,1,10,50,0
22,1,40,33,0
28,5,20,20,0
22,1,50,50,0
24,4,10,25,0
23,3,15,45,0
22,2,1,25,0
43,6,1,50,0
31,2,20,60,0
24,1,30,50,0
31,3,36,44,0
29,3,20,50,0
38,2,5,0,0
28,9,30,50,0
58,1,40,50,0
33,1,30,30,0
34,6,20,64,0
31,1,49,50,0
30,4,25,30,0
48,4,35,50,0
28,3,8,5,0
21,2,30,20,0
25,2,10,50,0
30,2,50,50,0
20,3,30,40,0
28,4,25,50,0
38,3,50,0,0
56,5,30,47,0
29,2,25,50,0
23,1,10,0,0
37,2,30,40,0
57,1,40,50,0
40,5,45,50,0
28,2,30,60,0
29,3,29,32,0
28,2,25,50,0
27,NA,1,50,0
22,3,30,11,0
25,3,1,50,0
21,5,20,50,0
29,6,50,50,0
20,9,40,50,0
28,2,20,50,0
50,2,30,40,0
35,4,25,25,0
30,3,1,50,0
47,2,50,50,0
18,2,10,50,0
23,5,20,75,0
40,2,40,50,0
25,3,15,25,0
25,5,1,50,0
31,2,50,50,0
21,6,20,3,0
29,1,35,0,0
27,4,10,30,0
31,3,50,50,0
25,2,10,10,0
18,1,1,50,0
34,1,40,50,0
20,3,50,50,0
31,3,1,50,0
31,2,10,50,0
19,1,40,10,0
27,3,40,20,0
23,1,20,43,0
29,2,20,25,0
37,4,28,50,0
20,3,40,50,0
28,2,40,50,0
55,3,50,50,0
21,1,50,50,0
30,2,50,40,0
32,2,1,50,0
39,2,20,50,0
33,1,40,50,0
31,2,20,20,0
50,2,10,50,0
63,5,50,50,0
28,1,10,2,0
33,1,50,50,0
36,1,40,50,0
34,7,25,50,0
53,1,10,50,0
35,9,0,100,0
32,4,45,50,0
32,6,40,40,0
40,2,30,50,0
60,1,10,40,0
47,1,50,50,0
37,6,5,50,0
33,3,30,50,0
40,2,40,50,0
29,1,15,50,0
36,2,1,50,0
29,4,0,100,0
22,2,10,41,0
20,6,10,50,0
37,4,40,50,0
33,1,5,40,0
53,2,50,50,0
25,2,25,50,0
30,5,20,50,0
23,1,30,50,0
25,3,30,30,0
30,3,30,50,0
29,2,30,50,0
26,2,50,50,0
22,5,20,50,0
33,5,30,30,0
47,3,40,40,0
40,2,35,50,0
42,2,50,50,0
26,2,23,39,0
51,NA,30,40,0
30,3,50,50,0
23,2,20,50,0
21,2,30,37,0
40,3,25,50,0
60,6,30,20,0
25,2,35,50,0
19,3,10,15,0
25,1,1,50,0
30,2,50,50,0
30,3,20,20,0
22,2,40,50,0
49,2,40,30,0
24,2,29,48,0
25,1,25,40,0
26,5,30,0,0
28,2,45,50,0
30,3,40,40,0
25,1,25,50,0
21,1,50,0,0
22,6,49,50,0
34,4,20,30,0
20,5,50,50,0
45,2,10,25,0
26,1,10,50,0
32,2,20,50,0
31,1,10,4,0
52,2,20,30,0
36,2,30,50,0
31,5,10,50,0
26,1,50,12,0
22,6,10,30,0
27,3,50,50,0
46,1,1,10,0
36,4,40,50,0
35,1,40,40,0
24,3,20,20,0
28,2,50,50,0
43,3,50,50,0
24,3,5,40,0
25,1,50,50,0
33,3,35,50,0
42,6,50,50,0
23,2,30,35,0
27,1,10,50,0
43,2,40,40,0
22,NA,30,50,0
26,1,30,50,0
47,2,50,50,0
22,3,40,49,0
29,2,11,40,0
29,1,5,24,0
20,3,25,50,0
65,2,15,40,0
29,3,1,40,0
45,1,90,41,0
28,2,25,70,0
21,7,50,50,0
40,5,20,20,0
31,4,1,50,0
29,1,3,30,0
51,4,10,50,0
39,2,40,45,0
26,1,25,50,0
42,2,20,50,0
20,1,10,50,0
24,1,20,40,0
32,2,10,30,0
26,6,50,50,0
23,3,20,50,0
38,2,30,50,0
29,3,35,40,0
28,2,1,50,0
23,1,50,0,0
22,2,40,50,0
30,6,1,50,0
32,1,30,50,0
37,6,50,50,0
31,4,40,50,0
40,3,1,50,0
26,8,45,51,0
33,2,100,0,0
25,3,30,8,0
36,2,40,50,0
24,3,5,25,0
22,1,10,50,0
31,1,30,34,0
42,5,40,40,0
26,6,20,50,0
33,2,40,50,0
21,1,25,20,0
34,3,50,0,0
56,4,25,50,0
